id,name,gender,dob,dobp,dod,dodp,image,enwiki
Q104918214,Saysomphone Phomvihane,male,1954,9,,,,Saysomphone Phomvihane
Q16139501,Pany Yathotou,female,1951-02-18,11,,,Pany Yathotou 2019.jpg,Pany Yathotou
Q25999464,Saleumxay Kommasith,male,1968-10-31,11,,,Saleumxay Kommasith May 2017 (34969105705) (cropped).jpg,Saleumxay Kommasith
Q360138,Khamtai Siphandon,male,1924-02-08,11,,,"The Prime Minister, Dr. Manmohan Singh meeting with the President of Laos, Mr. Khamtay Siphandone at Vientiane in Laos on November 29, 2004 (cropped).jpg",Khamtai Siphandone
Q470024,Bounnhang Vorachith,male,1937-08-15,11,,,Bounnhang Vorachit.JPG,Bounnhang Vorachit
Q57444,Choummaly Sayasone,male,1936-03-06,11,,,Choummaly Sayasone.jpg,Choummaly Sayasone
Q57826,Thongsing Thammavong,male,1944-04-12,11,,,Thongsing Thammavong.jpg,Thongsing Thammavong
Q58323,Thongloun Sisoulith,male,1945-11-10,11,,,Thongloun Sisoulith with Obamas cropped.jpg,Thongloun Sisoulith
Q7408584,Samane Vignaket,male,1927-03-03,11,2016-07-22,11,,Samane Vignaket
Q986768,Sisavath Keobounphanh,male,1928-05-01,11,2020-05-12,11,สีสะหวาด แก้วบุนพัน.jpg,Sisavath Keobounphanh
