item,itemLabel,minister,ministerLabel,began,ended
Q6866634,Ministry of Agriculture and Forestry of Laos,Q113947527,Minister of Agriculture and Forestry of Laos,,
Q104876347,Ministry of Finance,Q113947578,Minister of Finance,,
Q6867008,Ministry of Foreign Affairs,Q113470653,Minister of Foreign Affairs,,
Q30280632,Ministry of Health,Q113947529,Minister of Health,,
Q19695530,Ministry of Industry and Commerce,Q113947545,Minister of Industry and Commerce,,
Q55648357,Ministry of Justice (Laos),Q113947582,Minister of Justice (Laos),,
Q61931681,Ministry of Natural Resources and Environment,Q113947585,Minister of Natural Resources and Environment,2011,
Q19695544,Ministry of Public Security,Q113947546,Minister of Public Security,1976,
Q16965995,Ministry of Public Works and Transport,Q114450518,Minister of Public Works and Transport,,
Q52842759,Ministry of Science and Technology,Q113947587,Minister of Science and Technology,,
